max_context_length,control_data,aphasia_data,learning rate,batch_size,epoch1,epoch2,epoch3,correct_count,total_count,exact_match,syn_match,accuracy,,
1,FALSE,FALSE,2e-05,16,0,0,0,6,37,5,1,16.216216216216218,,
1,TRUE,FALSE,2e-05,16,0.030886166,2.9183998107910156,2.340708017349243,24,37,23,1,64.86486486486487,,
5,TRUE,FALSE,2e-05,16,0.438255638,0.5878620743751526,0.7633885741233826,20,37,19,1,54.054054054054056,,
10,TRUE,FALSE,2e-05,16,0.6842172145843506,0.5896841883659363,1.6109240055084229,19,37,19,0,51.35135135135135,,
20,TRUE,FALSE,2e-05,32,0.9967330098152161,0.8539884090423584,1.7729847431182861,22,37,22,0,59.45945945945946,,
50,TRUE,FALSE,2e-05,32,1.6119613647460938,0.8585465550422668,1.5339019298553467,22,37,22,0,59.45945945945946,,
100,TRUE,TRUE,2e-05,32,0.9775189757347107,0.9513569474220276,0.7786916494369507,24,37,24,0,64.86486486486487,,
100,TRUE,TRUE,2e-05,32,1.299971580505371,2.3600029945373535,1.3559350967407227,21,37,19,2,56.75675675675676,,
1,TRUE,TRUE,2e-05,32,1.299971580505371,2.3600029945373535,1.3559350967407227,21,37,19,2,56.75675675675676,,
5,TRUE,TRUE,2e-05,32,1.9342663288116455,1.5717452764511108,1.0175440311431885,22,37,20,2,59.45945945945946,,
10,TRUE,TRUE,2e-05,32,1.0348740816116333,0.8765406608581543,1.5593398809432983,23,37,23,0,62.16216216216216,,
20,TRUE,TRUE,2e-05,32,1.1761157512664795,1.6275352239608765,1.3162347078323364,22,37,22,0,59.45945945945946,,
50,TRUE,TRUE,2e-05,32,0.7178833484649658,0.8875911235809326,0.9460141062736511,21,37,21,0,56.75675675675676,,
5,FALSE,TRUE,2e-05,32,2.1064107418060303,3.5291941165924072,2.2489428520202637,8,37,7,1,21.62162162162162,,
10,FALSE,TRUE,2e-05,32,2.167404890060425,2.8947951793670654,2.2543816566467285,14,37,13,1,37.83783783783784,,
15,FALSE,TRUE,2e-05,32,1.8756564855575562,2.007520914077759,1.7407481670379639,20,37,19,1,54.054054054054056,,
20,FALSE,TRUE,2e-05,32,2.6628522872924805,1.8992620706558228,1.6954760551452637,23,37,22,1,62.16216216216216,,
5,TRUE,FALSE,2e-05,32,1.239489197731018,2.3081393241882324,0.35499686002731323,21,37,19,2,56.75675675675676,,
10,TRUE,FALSE,2e-05,32,0.8483830094337463,0.15582548081874847,2.941563367843628,20,37,20,0,54.054054054054056,,
15,TRUE,FALSE,2e-05,32,1.0902228355407715,0.42980027198791504,0.5390819907188416,23,37,23,0,62.16216216216216,,
20,TRUE,FALSE,2e-05,32,1.2563743591308594,0.8813576698303223,0.3714192807674408,22,37,22,0,59.45945945945946,,
5,FALSE,FALSE,2e-05,16,0,0,0,7,37,6,1,18.92,,
10,FALSE,FALSE,2e-05,16,0,0,0,8,37,7,1,21.62,,
15,FALSE,FALSE,2e-05,16,0,0,0,11,37,9,2,29.73,,
20,FALSE,FALSE,2e-05,16,0,0,0,12,37,9,3,32.43,,
25,FALSE,FALSE,2e-05,16,0,0,0,12,37,9,3,32.43,,
30,FALSE,FALSE,2e-05,16,0,0,0,11,37,8,3,29.73,,
40,FALSE,FALSE,2e-05,16,0,0,0,12,37,9,3,32.43,,
50,FALSE,FALSE,2e-05,16,0,0,0,12,37,9,3,32.43,,
60,FALSE,FALSE,2.00E-05,16,0,0,0,10,37,9,1,27.03,,
75,FALSE,FALSE,2.00E-05,16,0,0,0,10,37,9,1,27.03,,
100,FALSE,FALSE,2.00E-05,16,0,0,0,10,37,9,1,27.03,,
100,TRUE,FALSE,2.00E-05,16,NULL,NULL,NULL,25,37,24,1,67.57,,
100,TRUE,FALSE,2.00E-05,16,NULL,NULL,NULL,23,37,23,0,62.16,,
